FID_,RTE_CN,BMP,EMP,ID,NAME,SYMBOL_NAM,SYMBOL_COD,SEG_LENGTH,JURISDICTI,SYSTEM,ROUTE_STAT,OPER_MAINT,OBJECTIVE_,FUNCTIONAL,SURFACE_TY,LANES,PRIMARY_MA,COUNTY,CONGRESSIO,ADMIN_ORG,SERVICE_LI,LEVEL_OF_S,PFSR_CLASS,MANAGING_O,LOC_ERROR,GIS_MILES,SECURITY_I,SHAPE_LEN
,11410349,0,2.8,111,MILL CREEK,"Gravel Road, Suitable for Passenger Car",518,2.8,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,4 - MODERATE DEGREE OF USER COMFORT,4 - MODERATE DEGREE OF USER COMFORT,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - MADISON,MT - 01,10206,C - LONG TERM SERVICE,"I - FLOW INTERRUPTED,USE LIMITED<400 ADT",FLTP NETWORK - PROPOSED,10206,NO ERROR,0,102,0.055666789
,4310349,5.4,9.2,237,STANDARD CR,"Gravel Road, Suitable for Passenger Car",518,3.8,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,IMP - IMPROVED NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - MADISON,MT - 01,10206,C - LONG TERM SERVICE,H - CONGESTED WHEN HEAVY TRAFFIC<400 ADT,FLTP NETWORK - PROPOSED,10206,NO ERROR,0,102,0.070595231
,105510349,0,0.565,1260,GIBBONS PASS,"Dirt Road, Suitable for Passenger Car",515,0.565,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10203,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10203,NO ERROR,0,102,0.00888532
,4310349,10.089,19.1569,237,STANDARD CR,"Gravel Road, Suitable for Passenger Car",518,9.0679,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,IMP - IMPROVED NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - MADISON,MT - 01,10206,C - LONG TERM SERVICE,J - SLOW FLOW OR MAY BE BLOCKED <400 ADT,FLTP NETWORK - PROPOSED,10206,NO ERROR,0,102,0.170281279
,1310349,2.6,8.8,606,THIEF CR - FRENCH CR,"Dirt Road, Suitable for Passenger Car",515,6.2,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10201,C - LONG TERM SERVICE,J - SLOW FLOW OR MAY BE BLOCKED <400 ADT,FLTP NETWORK - PROPOSED,10201,NO ERROR,0,102,0.107105022
,121610349,1.2,15.348,919,SELWAY CREEK,"Gravel Road, Suitable for Passenger Car",518,14.148,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10201,C - LONG TERM SERVICE,"I - FLOW INTERRUPTED,USE LIMITED<400 ADT",FLTP NETWORK - PROPOSED,10201,NO ERROR,0,102,0.244460931
,11210349,0,8.7883,106,BITTERROOT BIGHOLE,"Dirt Road, Suitable for Passenger Car",515,8.7883,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - BEAVERHEAD,MT - 01,10203,C - LONG TERM SERVICE,"I - FLOW INTERRUPTED,USE LIMITED<400 ADT",FLTP NETWORK - PROPOSED,10203,PARTIAL MATCH FOR THE TO-MEASURE,0,102,0.151675169
,121110349,6.497,6.559,934,SEYMOUR CREEK,"Gravel Road, Suitable for Passenger Car",518,0.062,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - DEER LODGE,MT - 01,10202,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10202,NO ERROR,0,102,0.00092751
,4910349,25.4,36.85,290,GRAVELLY RANGE,"Gravel Road, Suitable for Passenger Car",518,11.45,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,AGG - CRUSHED AGGREGATE OR GRAVEL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - MADISON,MT - 01,10206,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10206,NO ERROR,0,102,0.188978856
,114210349,0,4,1208,JOHNSON CR,"Dirt Road, Suitable for Passenger Car",515,4,FS - FOREST SERVICE,NFSR - NATIONAL FOREST SYSTEM ROAD,EX - EXISTING,3 - SUITABLE FOR PASSENGER CARS,3 - SUITABLE FOR PASSENGER CARS,C - COLLECTOR,NAT - NATIVE MATERIAL,1 - SINGLE LANE,FS - FOREST SERVICE,MT - SILVER BOW,MT - 01,10202,C - LONG TERM SERVICE, ,FLTP NETWORK - PROPOSED,10202,NO ERROR,0,102,0.073328803
